City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Chernyshevskiy,RU,63.0128,112.4714,49.5,96,100,2.68,overcast clouds
114,Cidreira,BR,-30.1811,-50.2056,55.69,66,33,11.92,scattered clouds
115,Norman Wells,CA,65.282,-126.8329,69.84,60,75,5.75,broken clouds
116,Saint-Ambroise,CA,48.5501,-71.3324,83.57,47,97,8.05,overcast clouds
117,Khatanga,RU,71.9667,102.5,57.78,60,100,4.5,overcast clouds
118,Tuskegee,US,32.424,-85.6916,92.43,57,10,8.99,clear sky
119,Sabang,ID,5.8933,95.3214,81.81,77,74,5.79,broken clouds
120,Merauke,ID,-8.4667,140.3333,75.09,90,100,9.44,overcast clouds
121,Avarua,CK,-21.2078,-159.775,69.85,88,75,6.91,light rain
122,Flinders,AU,-34.5833,150.8552,53.26,74,5,5.99,clear sky
123,Shache,CN,38.4167,77.2406,80.71,18,0,5.91,clear sky
124,Bayan,CN,46.0833,127.4,64.13,97,97,6.31,overcast clouds
125,Castro,BR,-24.7911,-50.0119,66.83,76,100,1.86,light rain
126,Texarkana,US,33.4251,-94.0477,100.62,41,20,11.5,few clouds
127,Santa Maria,BR,-29.6842,-53.8069,52.9,62,100,4.61,overcast clouds
128,Bingerville,CI,5.3584,-3.8869,77.94,83,20,8.05,few clouds
129,Dingle,PH,10.9995,122.6711,74.79,93,100,1.99,light rain
130,Port Elizabeth,ZA,-33.918,25.5701,70.11,63,0,3.44,clear sky
131,La Ronge,CA,55.1001,-105.2842,79.05,38,75,9.22,broken clouds
132,Hasaki,JP,35.7333,140.8333,73.8,90,98,9.48,overcast clouds
133,Camacha,PT,33.0833,-16.3333,69.22,73,20,14.97,few clouds
134,Kaitangata,NZ,-46.2817,169.8464,43.83,89,77,5.44,broken clouds
135,Bloomingdale,US,27.8936,-82.2404,91.72,63,75,10.36,light rain
136,Dalbandin,PK,28.8947,64.4101,88.68,43,19,13.44,few clouds
137,Srednekolymsk,RU,67.45,153.6833,49.73,44,11,6.15,few clouds
138,Saint-Augustin,CA,51.226,-58.6502,64.71,75,100,17.87,overcast clouds
139,Constitucion,CL,-35.3333,-72.4167,50.41,94,100,9.6,heavy intensity rain
140,Ponta Do Sol,PT,32.6667,-17.1,76.01,76,8,8.97,clear sky
141,Ahipara,NZ,-35.1667,173.1667,50.2,80,95,5.41,overcast clouds
142,Taoudenni,ML,22.6783,-3.9836,106.18,10,58,11.97,broken clouds
143,Kavaratti,IN,10.5669,72.642,82.45,74,100,20.8,overcast clouds
144,Talnakh,RU,69.4865,88.3972,54.82,68,94,2.19,overcast clouds
145,Ulladulla,AU,-35.35,150.4667,52.7,62,0,13.11,clear sky
146,Channel-Port Aux Basques,CA,47.5702,-59.1367,63.46,86,93,1.86,overcast clouds
147,Qianguo,CN,45.1171,124.8568,65.32,95,100,3.58,overcast clouds
148,Port Lincoln,AU,-34.7333,135.8667,52.74,62,100,8.28,overcast clouds
149,Glasgow,GB,55.8652,-4.2576,71.31,67,100,3.44,overcast clouds
150,Camana,PE,-16.6228,-72.7111,63.18,73,46,10.02,scattered clouds
151,Longyearbyen,SJ,78.2186,15.6401,55.24,82,75,3.44,broken clouds
152,Pemangkat,ID,1.1667,108.9667,77.27,77,100,3.49,overcast clouds
153,Yeppoon,AU,-23.1333,150.7333,51.58,89,4,5.7,clear sky
154,Hilo,US,19.7297,-155.09,90.28,80,100,5.75,overcast clouds
155,Nador,MA,35.174,-2.9287,80.67,83,20,4.61,few clouds
156,Aklavik,CA,68.2191,-135.0107,68.0,68,75,5.75,broken clouds
157,Pizarro,CO,4.9533,-77.366,81.03,78,100,6.91,overcast clouds
158,Lebu,CL,-37.6167,-73.65,50.56,85,40,15.39,scattered clouds
159,Biak,ID,-0.9131,122.8766,72.97,93,100,8.37,moderate rain
160,Wajima,JP,37.4,136.9,74.88,88,67,9.66,broken clouds
161,Port Blair,IN,11.6667,92.75,78.84,89,75,2.3,mist
162,Los Llanos De Aridane,ES,28.6585,-17.9182,72.12,81,0,16.11,clear sky
163,Nijar,ES,36.9665,-2.206,78.66,69,0,9.22,clear sky
164,Clyde River,CA,70.4692,-68.5914,35.83,87,75,16.11,broken clouds
165,Klaksvik,FO,62.2266,-6.589,50.92,87,100,22.35,overcast clouds
166,Coquimbo,CL,-29.9533,-71.3436,58.73,51,0,12.66,clear sky
167,Moron,AR,-34.6534,-58.6198,57.96,45,4,8.34,clear sky
168,Alihe,CN,50.5667,123.7167,61.05,98,85,0.89,overcast clouds
169,Tabatinga,BR,-4.2525,-69.9381,91.49,55,40,8.05,scattered clouds
170,Bilibino,RU,68.0546,166.4372,32.74,68,98,20.45,overcast clouds
171,Leningradskiy,RU,69.3833,178.4167,32.61,92,74,26.15,light snow
172,Jalu,LY,29.0331,21.5482,84.81,38,0,19.44,clear sky
173,Puro,PH,12.4841,123.3827,80.26,78,100,1.12,overcast clouds
174,Walvis Bay,NA,-22.9575,14.5053,66.09,40,18,11.25,few clouds
175,Kruisfontein,ZA,-34.0033,24.7314,67.89,24,0,19.51,clear sky
176,Esperance,AU,-33.8667,121.9,53.08,92,100,9.28,light rain
177,Seymchan,RU,62.8833,152.4333,54.14,93,100,6.22,light rain
178,Namibe,AO,-15.1961,12.1522,64.47,84,7,1.5,clear sky
179,Ribeira Grande,PT,38.5167,-28.7,75.6,78,20,18.41,few clouds
180,Bukachacha,RU,52.9833,116.9167,59.0,98,100,2.51,overcast clouds
181,Bengkulu,ID,-3.8004,102.2655,75.38,88,47,4.34,scattered clouds
182,Lere,NG,10.387,8.5726,67.41,97,100,3.71,overcast clouds
183,Granby,CA,45.4001,-72.7324,87.22,44,100,3.44,overcast clouds
184,Timaru,NZ,-44.4,171.25,55.08,52,8,18.01,clear sky
185,Alofi,NU,-19.0595,-169.9187,73.29,94,1,8.05,clear sky
186,Ayorou,NE,14.7308,0.9174,90.1,45,99,9.89,overcast clouds
187,Kumluca,TR,36.3703,30.2869,85.51,43,0,8.52,clear sky
188,Cochrane,CA,51.1834,-114.4687,71.91,55,20,9.22,few clouds
189,Muros,ES,42.7762,-9.0603,80.69,90,72,2.1,broken clouds
